区划代码    区县  地级市 省级  上级代码    历史代码    经度  纬度  电话区号    邮编  占地面积    人口总数    政府网址    政府地址
130424  成安县 邯郸  河北  130400  *   114.66995   36.44411    0310    056700  482 44  http://www.chengan.gov.cn/  河北省邯郸市成安县有所为路95号
130425  大名县 邯郸  河北  130400  *   115.15362   36.27994    0310    056900  1053    92  http://dm.hd.gov.cn/    河北省邯郸市大名县大名府路313号
130426  涉县  邯郸  河北  130400  *   113.69183   36.58072    0310    056400  1509    41  http://www.sx.hd.gov.cn/    河北省邯郸市涉县崇州路9号
130427  磁县  邯郸  河北  130400  *   114.37387   36.37392    0310    056500  1015    65  http://www.cixian.gov.cn/   河北省邯郸市磁县磁州路9号
130428  肥乡县 邯郸  河北  130400  *   114.79998   36.54807    0310    057550  503 39  http://fx.hd.gov.cn/    河北省邯郸市肥乡县广安路
130429  永年县 邯郸  河北  130400  *   114.48925   36.78356    0310    057150  898 108 http://yn.hd.gov.cn/    河北省邯郸市永年县政府街21号
130430  邱县  邯郸  河北  130400  *   115.17407   36.82082    0310    057450  449 25  http://qx.hd.gov.cn/    河北省邯郸市邱县
130431  鸡泽县 邯郸  河北  130400  *   114.8742    36.92374    0310    057350  336 31  http://www.jize.gov.cn/ 河北省邯郸市鸡泽县
130432  广平县 邯郸  河北  130400  *   114.94653   36.48046    0310    057650  314 30  http://gp.hd.gov.cn/    河北省邯郸市广平县勤政路1号
130433  馆陶县 邯郸  河北  130400  *   115.29913   36.53719    0310    057750  456 35  http://www.guantao.gov.cn/  河北省邯郸市馆陶县
130434  魏县  邯郸  河北  130400  *   114.93518   36.36171    0310    056800  864 99  http://www.wei.gov.cn/  河北省邯郸市魏县魏州东路68号
130435  曲周县 邯郸  河北  130400  *   114.95196   36.77671    0310    057250  677 48  http://www.qzx.gov.cn/  河北省邯郸市曲周县公仆路19号
130481  武安市 邯郸  河北  130400  *   114.20153   36.69281    0310    056300  1806    81  http://www.wuan.gov.cn/ 河北省邯郸市武安市塔西路20号
130500  邢台  邢台  河北  130000  *   114.508851  37.0682 0319    054000  12143   757 http://www.xingtai.gov.cn/  河北省邢台市桥东区红星街139号
130502  桥东区 邢台  河北  130500  *   114.50725   37.06801    0319    054000  63  46  http://www.xtqdzf.gov.cn/   河北省邢台市桥东区泉南东大街213号
130503  桥西区 邢台  河北  130500  *   114.46803   37.05984    0319    054000  99  40  http://www.xtqxzf.gov.cn/   河北省邢台市桥西区中兴西大街366号
130521  邢台县 邢台  河北  130500  *   114.56575   37.0456 0319    054000  1848    35  http://www.xtxzf.gov.cn/    河北省邢台市邢台县顺德路229号
130522  临城县 邢台  河北  130500  *   114.50387   37.43977    0319    054300  797 22  http://www.lincheng.gov.cn/ 河北省邢台市临城县府前街131号
130523  内丘县 邢台  河北  130500  *   114.51212   37.28671    0319    054200  788 29  http://www.hbnq.gov.cn/ 河北省邢台市内丘县
130524  柏乡县 邢台  河北  130500  *   114.69332   37.48242    0319    055450  268 20  http://www.baixiangxian.gov.cn/ 河北省邢台市柏乡县建设路
130525  隆尧县 邢台  河北  130500  *   114.77615   37.35351    0319    055350  749 54  http://www.longyao.gov.cn/  河北省邢台市隆尧县康庄路215号
130526  任县  邢台  河北  130500  *   114.6842    37.12575    0319    055150  431 37  http://www.renxian.gov.cn/  河北省邢台市任县人民街389号
